column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aider-polyglot/polyglot_go_bowling,16,0,0.0,0.6666666875,0.39086801551878075,0.8333335,0.333333,1.0,0.0,1.0,identity,0.8333335,0.666667,0,0
aider-polyglot/polyglot_go_connect,16,0,0.0,0.41666675,0.3227487412834673,0.5,0.0,0.666667,0.0,1.0,identity,0.5,0.666667,0,0
aider-polyglot/polyglot_go_counter,16,0,0.0,0.18749993750000002,0.28792238748542737,0.0,0.0,0.333333,0.0,1.0,identity,0.0,0.333333,0,0
aider-polyglot/polyglot_go_crypto-square,16,0,0.0,0.9166666875,0.24999997916667882,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.24999997916667882,0,0
aider-polyglot/polyglot_go_dnd-character,16,0,0.0,0.85416675,0.20305817276783641,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aider-polyglot/polyglot_go_dominoes,16,0,0.0,0.8125,0.3111080555405951,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aider-polyglot/polyglot_go_error-handling,16,0,0.0,0.604166625,0.459751618101812,1.0,0.0,1.0,0.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_go_food-chain,16,0,0.0,0.604166625,0.35782434053681894,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aider-polyglot/polyglot_go_forth,16,0,0.0,0.395833375,0.42847845506904936,0.1666665,0.0,0.75000025,0.0,1.0,identity,0.1666665,0.75000025,0,0
aider-polyglot/polyglot_go_hexadecimal,16,0,0.0,0.083333375,0.22047938616168716,0.0,0.0,0.0,0.0,0.666667,identity,0.0,0.22047938616168716,0,0
aider-polyglot/polyglot_go_kindergarten-garden,16,0,0.0,0.2083333125,0.3886407871780056,0.0,0.0,0.08333325,0.0,1.0,identity,0.0,0.08333325,0,0
aider-polyglot/polyglot_go_ledger,16,0,0.0,0.583333375,0.3632416455413798,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aider-polyglot/polyglot_go_markdown,16,0,0.0,0.7916666875,0.30900830681486513,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aider-polyglot/polyglot_go_matrix,16,0,0.0,0.0416666875,0.16137438677912874,0.0,0.0,0.0,0.0,0.666667,identity,0.0,0.16137438677912874,0,0
aider-polyglot/polyglot_go_octal,16,0,0.0,0.2708333125,0.3947353334919042,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aider-polyglot/polyglot_go_paasio,16,0,0.0,0.2083333125,0.3886407871780056,0.0,0.0,0.08333325,0.0,1.0,identity,0.0,0.08333325,0,0
aider-polyglot/polyglot_go_palindrome-products,16,0,0.0,0.2708333125,0.3947353334919042,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aider-polyglot/polyglot_go_pig-latin,16,0,0.0,0.875,0.28565229932756536,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.28565229932756536,0,0
aider-polyglot/polyglot_go_poker,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aider-polyglot/polyglot_go_pov,16,0,0.0,0.75,0.3996526443189448,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
